State;Year;Real GDP (1997 chained millions)
Maryland;1986;117037,4
Massachusetts;1986;172627,6
Michigan;1986;218860
Mideast;1986;1192646
Minnesota;1986;105789
Mississippi;1986;40568,8
Missouri;1986;111651,6
Montana;1986;14521,4
Nebraska;1986;34263,6
Nevada;1986;27350,8
New England;1986;358010
New Hampshire;1986;23933,4
New Jersey;1986;216137,7
New Mexico;1986;26880,9
New York;1986;539859,1
North Carolina;1986;140634,2
North Dakota;1986;12743
Ohio;1986;240299,1
Oklahoma;1986;64580,1
Oregon;1986;55144,1
Pennsylvania;1986;253121,9
Plains;1986;388432,4
Rhode Island;1986;22861,9
Rocky Mountain;1986;158252,2
South Carolina;1986;62606,6
South Dakota;1986;13345,7
Southeast;1986;1203514
Southwest;1986;555866,3
Tennessee;1986;97962,2
Texas;1986;391308,8
Utah;1986;32466,8
Vermont;1986;10597,2
Virginia;1986;147618,2
Washington;1986;115190,4
West Virginia;1986;28673,3
Wisconsin;1986;101810,3
Wyoming;1986;12581
Alabama;1987;78659,1
Alaska;1987;29525,4
Arizona;1987;76599,8
Arkansas;1987;41566
California;1987;802816,2
Colorado;1987;83322,2
Connecticut;1987;112210,4
Delaware;1987;22562,9
District of Columbia;1987;47148,6
Far West;1987;1071727
Florida;1987;270018,4
Georgia;1987;152162,8
Great Lakes;1987;988285
Hawaii;1987;32375,8
Idaho;1987;17349,5
Illinois;1987;297698,3
Indiana;1987;117396,6
Iowa;1987;56536,4
Kansas;1987;57349,8
Kentucky;1987;70822,3
Louisiana;1987;104284,2
Maine;1987;25426,4
Maryland;1987;123260,1
Massachusetts;1987;183711,6
Michigan;1987;221362,3
Mideast;1987;1253511
Minnesota;1987;110915,8
Mississippi;1987;43228,6
Missouri;1987;116060,1
Montana;1987;14624,1
Nebraska;1987;34351,1
Nevada;1987;29144
New England;1987;383298,4
New Hampshire;1987;26669,4
New Jersey;1987;230996,5
New Mexico;1987;26931,6
New York;1987;562845,7
North Carolina;1987;147274,2
North Dakota;1987;13074,1
Ohio;1987;247286,6
Oklahoma;1987;63487,1
Oregon;1987;56988,2
Pennsylvania;1987;266991,4
Plains;1987;401771,2
Rhode Island;1987;23870,7
Rocky Mountain;1987;160105,9
South Carolina;1987;67197,6
South Dakota;1987;13623,4
Southeast;1987;1265154
Southwest;1987;556371,4
Tennessee;1987;104884
Texas;1987;389771,7
Utah;1987;32681,5
Vermont;1987;11522,2
Virginia;1987;156425,7
Washington;1987;120393,1
West Virginia;1987;28733,9
Wisconsin;1987;104769,8
Wyoming;1987;12271,7
Alabama;1988;82507,5
Alaska;1988;27843,4
Arizona;1988;80258,3
Arkansas;1988;43158,4
California;1988;848272,5
Colorado;1988;85880
Connecticut;1988;119046,6
Delaware;1988;23599,2
District of Columbia;1988;49205,5
Far West;1988;1131172
Florida;1988;286785,8
Georgia;1988;158945,8
Great Lakes;1988;1035997
Hawaii;1988;34587
Idaho;1988;18284
Illinois;1988;314484,6
Indiana;1988;123242,1
Iowa;1988;59479,1
Kansas;1988;58843,1
Kentucky;1988;75562,1
Louisiana;1988;108141,7
Maine;1988;27344,2
Maryland;1988;131777,4
Massachusetts;1988;194619,3
Michigan;1988;230563,1
Mideast;1988;1327678
Minnesota;1988;115398,2
Mississippi;1988;44252,2
Missouri;1988;121171,3
Montana;1988;14496,6
Nebraska;1988;36304,2
Nevada;1988;31701,4
New England;1988;407276,2
New Hampshire;1988;28319,4
New Jersey;1988;248031
New Mexico;1988;27463,6
New York;1988;595325,6
North Carolina;1988;155810,6
North Dakota;1988;12023
Ohio;1988;256727,3
Oklahoma;1988;66539,7
Oregon;1988;60567,8
Pennsylvania;1988;279974,6
Plains;1988;416798,7
Rhode Island;1988;25528
Rocky Mountain;1988;166008,9
South Carolina;1988;70664,2
South Dakota;1988;13732,7
Southeast;1988;1330988
Southwest;1988;586844,3
Tennessee;1988;109796,1
Texas;1988;413113,5
Utah;1988;34412,9
Vermont;1988;12521
Virginia;1988;164557,5
Washington;1988;127671,5
West Virginia;1988;30865,1
Wisconsin;1988;111179,6
Wyoming;1988;13049,8
Alabama;1989;82407,7
Alaska;1989;28985,5
Arizona;1989;80971,1
Arkansas;1989;44011,8
California;1989;880307
Colorado;1989;86897,7
Connecticut;1989;120606,9
Delaware;1989;25312,1
District of Columbia;1989;50146,3
Far West;1989;1177017
Florida;1989;297214,7
Georgia;1989;162167
Great Lakes;1989;1057952
Hawaii;1989;36642,9
Idaho;1989;19453,2
Illinois;1989;320572
Indiana;1989;127701,4
Iowa;1989;61635,5
Kansas;1989;59285,9
Kentucky;1989;77232,8
Louisiana;1989;108116,7
Maine;1989;27882,4
Maryland;1989;134612,2
Massachusetts;1989;195608,8
Michigan;1989;234224,2
Mideast;1989;1340174
Minnesota;1989;118868,3
Mississippi;1989;44669
Missouri;1989;123688,3
Montana;1989;15089,3
Nebraska;1989;37388,6
Nevada;1989;34125,1
New England;1989;411580,4
New Hampshire;1989;28277,8
New Jersey;1989;251515,2
New Mexico;1989;28056,2
New York;1989;594266,7
North Carolina;1989;160952,6
North Dakota;1989;12733,1
Ohio;1989;262186,6
Oklahoma;1989;66721,8
Oregon;1989;62292,4
Pennsylvania;1989;284584,9
Plains;1989;427443,6
Rhode Island;1989;26214,3
Rocky Mountain;1989;169204,8
South Carolina;1989;72983,5
South Dakota;1989;13960,6
Southeast;1989;1361603
Southwest;1989;598851,8
Tennessee;1989;110895,6
Texas;1989;423659,6
Utah;1989;34827
Vermont;1989;13091,4
Virginia;1989;170266,6
Washington;1989;134180
West Virginia;1989;30815,6
Wisconsin;1989;113429,5
Wyoming;1989;13018,6
Alabama;1990;83766,4
Alaska;1990;28772,4
Arizona;1990;81606,3
Arkansas;1990;44496,2
California;1990;906102,9
Colorado;1990;88932,5
Connecticut;1990;121175,6
Delaware;1990;25887,4
District of Columbia;1990;51174,6
Far West;1990;1218168
Florida;1990;304324,4
Georgia;1990;165062,2
Great Lakes;1990;1062296
Hawaii;1990;39175,9
Idaho;1990;20161,3
Illinois;1990;324011,9
Indiana;1990;128196,9
Iowa;1990;63460,1
Kansas;1990;60671,6
Kentucky;1990;78206,3
Louisiana;1990;110272,1
Maine;1990;27644,4
Maryland;1990;136164,6
Massachusetts;1990;189729,7
Michigan;1990;229533,5
Mideast;1990;1351182
Minnesota;1990;120078
Mississippi;1990;44852,5
